id,wikidata,given-names,family-names,image_source,wikipedia_url,wikipedia_bio,image_location,image_small,image_thumb,image_alt_text
43,Q732434,Mulk Raj,Anand,Open Library,https://en.wikipedia.org/wiki/Mulk_Raj_Anand,"Mulk Raj Anand was an Indian writer in the English language, recognised for his depiction of the lives of the poorer class in the traditional Indian society. One of the pioneers of Indo-Anglian fiction, he, together with R. K. Narayan and Raja Rao, was one of the first India-based writers in the English language to gain an International readership. Anand is admired for his novels and short stories, which have acquired the status of classics of modern Indian English literature; they are noted for their perceptive insight into the lives of the oppressed and for their analysis of impoverishment, exploitation and misfortune. He became known for his protest novel Untouchable (1935), which was followed by other works on the Indian poor such as Coolie (1936) and Two Leaves and a Bud (1937). He is also noted for being among the first writers to incorporate Punjabi and Hindustani idioms into English, and was a recipient of the civilian honour of the Padma Bhushan, the third-highest civilian award in the Republic of India. (Source: Wikipedia)",/objects/43.jpg,/objects/small/43_sm.jpg,/objects/thumbs/43_th.jpg,Image of Mulk Raj Anand from Open Library
44,Q1326764,Rudolfo,Anaya,Open Library,https://en.wikipedia.org/wiki/Rudolfo_Anaya,"Rudolfo Anaya was an American author. Noted for his 1972 novel Bless Me, Ultima, Anaya was considered one of the founders of the canon of contemporary Chicano and New Mexican literature. The themes and cultural references of the novel, which were uncommon at the time of its publication, had a lasting impression on fellow Latino writers. It was subsequently adapted into a film and an opera. (Source: Wikipedia)",/objects/44.jpg,/objects/small/44_sm.jpg,/objects/thumbs/44_th.jpg,Image of Rudolfo Anaya from Open Library
45,Q5575294,Bhabani,Bhattacharya,literarydc.wordpress.com,https://en.wikipedia.org/wiki/Bhabani_Bhattacharya,"Bhabani Bhattacharya was an Indian writer, of Bengali origin, who wrote social-realist fiction. He was born in Bhagalpur, part of the Bengal Presidency in British India. Bhattacharya gained a bachelor's degree from Patna University and a doctorate from the University of London. He returned to India and joined the diplomatic service. Bhattacharya served in the United States, to which country he returned as a teacher of literary studies once he had left the service. He taught in Hawaii, and later in Seattle. In his mid-thirties Bhattacharya began writing fiction set in historically and socially realistic contexts. He wrote in English, his chosen medium following the advice of two prominent literary figures. (Source: Wikipedia)",/objects/45.jpg,/objects/small/45_sm.jpg,/objects/thumbs/45_th.jpg,Image of Bhabani Bhattacharya from literarydc.wordpress.com
46,Q273210,James,Baldwin,Wikipedia,https://en.wikipedia.org/wiki/James_Baldwin,"James Arthur Baldwin was an American writer and civil rights activist who garnered acclaim for his essays, novels, plays, and poems. His 1953 novel Go Tell It on the Mountain has been ranked by Time magazine as one of the top 100 English-language novels. His 1955 essay collection Notes of a Native Son helped establish his reputation as a voice for human equality. His 1965 debate with William Buckley is regarded as one of the most influential debates on race in the United States. Baldwin was an influential public figure and orator, especially during the civil rights movement in the United States. (Source: Wikipedia)",/objects/46.jpg,/objects/small/46_sm.jpg,/objects/thumbs/46_th.jpg,Image of James Baldwin from Wikipedia
47,Q276028,Frances Hodgson,Burnett,Wikipedia,https://en.wikipedia.org/wiki/Frances_Hodgson_Burnett,"Frances Eliza Hodgson Burnett was a British-American novelist and playwright. She is best known for the three children's novels Little Lord Fauntleroy (1886), A Little Princess (1905), and The Secret Garden (1911). (Source: Wikipedia)",/objects/47.jpg,/objects/small/47_sm.jpg,/objects/thumbs/47_th.jpg,Image of Frances Hodgson Burnett from Wikipedia
48,Q2235837,Mary,Butts,Wikipedia,https://en.wikipedia.org/wiki/Mary_Butts,"Mary Frances Butts, also Mary Rodker by marriage, was an English modernist writer. Her work found recognition in literary magazines such as The Bookman and The Little Review, as well as from fellow modernists, T. S. Eliot, H.D. and Bryher. After her death, her works fell into obscurity until they began to be republished in the 1980s. (Source: Wikipedia)",/objects/48.jpg,/objects/small/48_sm.jpg,/objects/thumbs/48_th.jpg,Image of Mary Butts from Wikipedia
49,Q171091,Phillip K.,Dick,Wikipedia,https://en.wikipedia.org/wiki/Philip_K._Dick,"Philip Kindred Dick was an American science fiction short story writer and novelist. He wrote 45 novels and about 121 short stories, most of which appeared in science fiction magazines. His fiction explored varied philosophical and social questions such as the nature of reality, perception, human nature, and identity, and commonly featured characters struggling against alternate realities, illusory environments, monopolistic corporations, drug abuse, authoritarian governments, and altered states of consciousness. He is considered one of the most important figures in 20th-century science fiction. (Source: Wikipedia)",/objects/49.jpg,/objects/small/49_sm.jpg,/objects/thumbs/49_th.jpg,Image of Phillip K. Dick from Wikipedia
50,Q1565590,G.V.,Desani,Wikipedia,https://en.wikipedia.org/wiki/G._V._Desani,"Govindas Vishnoodas Desani (1909–2000), known as G.V. Desani, was a British-Indian journalist, lecturer, writer and educator.
Desani is best known for his novel All About H. Hatterr, first published in Great Britain in 1948, which cast an absurdist, comedic light on the plight of a common man in a multicultural, pan-ethnic world. (Source: Wikipedia)",/objects/50.jpg,/objects/small/50_sm.jpg,/objects/thumbs/50_th.jpg,Image of G.V. Desani from Wikipedia
51,Q189119,E.M.,Forster,Wikipedia,https://en.wikipedia.org/wiki/E._M._Forster,"Edward Morgan Forster was an English author. He is best known for his novels, particularly A Room with a View (1908), Howards End (1910) and A Passage to India (1924). He also wrote numerous short stories, essays, speeches and broadcasts, as well as biographies and pageant plays. His short story ""The Machine Stops"" (1909) is often viewed as the beginning of technological dystopian fiction. He also co-authored the libretto to Benjamin Britten's opera Billy Budd (1951). Many of his novels examine class differences and hypocrisy. His views as a humanist are at the heart of his work. (Source: Wikipedia)",/objects/51.jpg,/objects/small/51_sm.jpg,/objects/thumbs/51_th.jpg,Image of E.M. Forster from Wikipedia
52,Q7934,Frank,Herbert,Wikipedia,https://en.wikipedia.org/wiki/Frank_Herbert,"Franklin Patrick Herbert Jr. was an American science-fiction author, best known for his 1965 novel Dune and five sequels to it. He also wrote short stories and worked as a newspaper journalist, photographer, book reviewer, ecological consultant, and lecturer. (Source: Wikipedia)",/objects/52.jpg,/objects/small/52_sm.jpg,/objects/thumbs/52_th.jpg,Image of Frank Herbert from Wikipedia
