id,author_id,country_id,significance
1,43,IND,major
2,43,GBR,major
3,44,USA,major
4,45,IND,major
5,45,GBR,minor
6,45,USA,major
7,46,USA,major
8,46,FRA,major
9,46,CHE,minor
10,47,USA,major
11,47,GBR,major
12,48,GBR,major
13,49,USA,major
14,51,GBR,major
15,53,IND,major
16,53,GBR,major
17,55,IRL,major
18,56,USA,major
19,56,CAN,major
20,80,TTO,major
21,80,USA,major
22,80,IND,minor
23,60,USA,major
24,63,IND,major
25,63,USA,minor
26,66,USA,major
27,64,GBR,major
28,70,USA,major
29,71,GBR,major
30,71,USA,major
31,71,ITA,minor
32,71,ZWE,minor
33,74,KEN,major
34,74,UGA,minor
35,74,GBR,minor
36,77,GBR,major
37,78,GBR,major
38,79,JAM,major
39,79,GBR,minor
40,79,USA,major
41,79,HTI,minor
