objectid,title,date,creator,author_id,description,subject,location,religion,source,original-identifier,rights,rightsstatement,type,format,language,display_template,openlibraryid,olid_works_path,olid_img_path,object_location,image_small,image_thumb,image_alt_text
margan001,Untouchable,1935,Mulk Raj Anand,43,"Untouchable is a novel by Indian writer Mulk Raj Anand published in 1935. The novel established Anand as one of India's leading English authors. The book was inspired by his aunt's experience of being ostracized for sharing a meal with a Muslim woman. The plot of this book, Anand's first, revolves around the argument for eradicating the caste system. It depicts a day in the life of Bakha, a young ""sweeper"", who is ""untouchable"" due to his work of cleaning latrines. (Source: Wikipedia)",Experience; Critique; Institutions; Ethics; Purity,India,Hindu; Christianity-Protestant,https://www.wikidata.org/wiki/Q3641802,Q3641802,"Metadata and other content produced by the MaRGAN team for this website is free for teaching and research purposes, provided appropriate credit is given. See <a href=""https://creativecommons.org/licenses/by/4.0/"">https://creativecommons.org/licenses/by/4.0/</a> for more information.",https://creativecommons.org/licenses/by/4.0/,Text,image/jpeg,,record,OL22293680M,https://openlibrary.org/works/OL22293680M,https://covers.openlibrary.org/b/OLID/OL22293680M.jpg,/objects/cover_untouchable.jpg,/objects/small/cover_untouchable_sm.jpg,/objects/thumbs/cover_untouchable_th.jpg,Book cover for Untouchable by Mulk Raj Anand
margan002,The Village,1939,Mulk Raj Anand,43,"The Village is a novel by Mulk Raj Anand first published in 1939. This book was the first of a trilogy that included Across the Black Waters and The Sword and the Sickle. The plot centers on India's political structure, specifically the British rule and the independence movement. The novel revolves around Lal Singh a peasant in the Punjab, his antics going against social norms while in the village, his subsequent enrollment in the army and his troubles in the army, culminating in his return to the village. (Source: Wikipedia)",,India,,https://www.wikidata.org/wiki/Q7772637,Q7772637,"Metadata and other content produced by the MaRGAN team for this website is free for teaching and research purposes, provided appropriate credit is given. See <a href=""https://creativecommons.org/licenses/by/4.0/"">https://creativecommons.org/licenses/by/4.0/</a> for more information.",https://creativecommons.org/licenses/by/4.0/,Text,image/jpeg,,record,OL22788075M,https://openlibrary.org/works/OL22788075M,https://covers.openlibrary.org/b/OLID/OL22788075M.jpg,/objects/cover_the_village.jpg,/objects/small/cover_the_village_sm.jpg,/objects/thumbs/cover_the_village_th.jpg,Book cover for The Village by Mulk Raj Anand
margan003,"Bless Me, Ultima",1972,Rudolfo Anaya,44,"Bless Me, Ultima is a coming-of-age novel by Rudolfo Anaya centering on Antonio Márez y Luna and his mentorship under his curandera and protector, Ultima. It has become the most widely read and critically acclaimed novel in the New Mexican literature canon since its first publication in 1972. Teachers across disciplines in middle schools, high schools and universities have adopted it as a way to implement multicultural literature in their classes. The novel reflects Hispano culture of the 1940s in rural New Mexico. Anaya's use of Spanish, mystical depiction of the New Mexican landscape, use of cultural motifs such as La Llorona, and recounting of curandera folkways such as the gathering of medicinal herbs, gives readers a sense of the influence of indigenous cultural ways that are both authentic and distinct from the mainstream. (Source: Wikipedia)",Healing; Holy People; Place; Ritual,United States,Christianity-Roman Catholic; Animist-Native American,https://www.wikidata.org/wiki/Q4926190,Q4926190,"Metadata and other content produced by the MaRGAN team for this website is free for teaching and research purposes, provided appropriate credit is given. See <a href=""https://creativecommons.org/licenses/by/4.0/"">https://creativecommons.org/licenses/by/4.0/</a> for more information.",https://creativecommons.org/licenses/by/4.0/,Text,image/jpeg,,record,OL61279021M,https://openlibrary.org/works/OL61279021M,https://covers.openlibrary.org/b/OLID/OL61279021M.jpg,/objects/cover_bless_me_ultima.jpg,/objects/small/cover_bless_me_ultima_sm.jpg,/objects/thumbs/cover_bless_me_ultima_th.jpg,"Book cover for Bless Me, Ultima by Rudolfo Anaya"
margan004,He Who Rides a Tiger,1954,Bhabani Bhattacharya,45,,Community; Critique; Ethics; Gods & Spirits; Holy People; Omens & Visions; Ritual,India,Hindu; Non Affliated-Atheist,https://www.wikidata.org/wiki/Q135475079,Q135475079,"Metadata and other content produced by the MaRGAN team for this website is free for teaching and research purposes, provided appropriate credit is given. See <a href=""https://creativecommons.org/licenses/by/4.0/"">https://creativecommons.org/licenses/by/4.0/</a> for more information.",https://creativecommons.org/licenses/by/4.0/,Text,image/jpeg,,record,OL22811490M,https://openlibrary.org/works/OL22811490M,https://covers.openlibrary.org/b/OLID/OL22811490M.jpg,/objects/cover_he_who_rides_a_tiger.jpg,/objects/small/cover_he_who_rides_a_tiger_sm.jpg,/objects/thumbs/cover_he_who_rides_a_tiger_th.jpg,Book cover for He Who Rides a Tiger by Bhabani Bhattacharya
margan005,Go Tell It on the Mountain,1953,James Baldwin,46,"Go Tell It on the Mountain is a 1953 semi-autobiographical novel by James Baldwin. It tells the story of John Grimes, an intelligent teenager in 1930s Harlem, and his relationship with his family and his church. The novel also reveals the back stories of John's mother, his biological father, and his violent, fanatically religious stepfather, Gabriel Grimes. The novel focuses on the role of the Pentecostal Church in the lives of African Americans, both as a negative source of repression and moral hypocrisy and a positive source of inspiration and community. (Source: Wikipedia)",Belief; Body; Critique; Experience; Ritual; Sexuality,United States,Christianity-Protestant; Non Affliated-Atheist,https://www.wikidata.org/wiki/Q1444052,Q1444052,"Metadata and other content produced by the MaRGAN team for this website is free for teaching and research purposes, provided appropriate credit is given. See <a href=""https://creativecommons.org/licenses/by/4.0/"">https://creativecommons.org/licenses/by/4.0/</a> for more information.",https://creativecommons.org/licenses/by/4.0/,Text,image/jpeg,,record,OL49653429M,https://openlibrary.org/works/OL49653429M,https://covers.openlibrary.org/b/OLID/OL49653429M.jpg,/objects/cover_go_tell_it_on_the_mountain.jpg,/objects/small/cover_go_tell_it_on_the_mountain_sm.jpg,/objects/thumbs/cover_go_tell_it_on_the_mountain_th.jpg,Book cover for Go Tell It on the Mountain by James Baldwin
margan006,The Secret Garden,1911,Frances Hodgson Burnett,47,"The Secret Garden is a children's novel by Frances Hodgson Burnett first published in book form in 1911, after serialisation in The American Magazine. Set in England, it is seen as a classic of English children's literature. The American edition was published by the Frederick A. Stokes Company with illustrations by M. L. Kirk, and the British edition by Heinemann with illustrations by Charles Robinson. (Source: Wikipedia)",Enchantment; Healing; Nature; Place,United Kingdom; India,Christianity-Protestant; Syncretic Religions-Occult; Syncretic Religions-Pagan,https://www.wikidata.org/wiki/Q472194,Q472194,"Metadata and other content produced by the MaRGAN team for this website is free for teaching and research purposes, provided appropriate credit is given. See <a href=""https://creativecommons.org/licenses/by/4.0/"">https://creativecommons.org/licenses/by/4.0/</a> for more information.",https://creativecommons.org/licenses/by/4.0/,Text,image/jpeg,,record,OL32350293M,https://openlibrary.org/works/OL32350293M,https://covers.openlibrary.org/b/OLID/OL32350293M.jpg,/objects/cover_the_secret_garden.jpg,/objects/small/cover_the_secret_garden_sm.jpg,/objects/thumbs/cover_the_secret_garden_th.jpg,Book cover for The Secret Garden by Frances Hodgson Burnett
margan007,Armed with Madness,1928,Mary Butts,48,Armed with Madness is a novel by Mary Butts first published in 1928 that incorporates Modernism and Psychoanalytical Criticism. (Source: Wikipedia),Belief; Enchantment; Nature; Place; Ritual; Sacrifice; Thing,United Kingdom,Christianity-Anglican; Syncretic Religions-Occult; Syncretic Religions-Pagan,https://www.wikidata.org/wiki/Q13430524,Q13430524,"Metadata and other content produced by the MaRGAN team for this website is free for teaching and research purposes, provided appropriate credit is given. See <a href=""https://creativecommons.org/licenses/by/4.0/"">https://creativecommons.org/licenses/by/4.0/</a> for more information.",https://creativecommons.org/licenses/by/4.0/,Text,image/jpeg,,record,OL7359130M,https://openlibrary.org/works/OL7359130M,https://covers.openlibrary.org/b/OLID/OL7359130M.jpg,/objects/cover_armed_with_madness.jpg,/objects/small/cover_armed_with_madness_sm.jpg,/objects/thumbs/cover_armed_with_madness_th.jpg,Book cover for Armed with Madness by Mary Butts
margan008,Ubik,1969,Phillip K. Dick,49,"Ubik is a 1969 science fiction novel by American writer Philip K. Dick. The story is set in a future 1992 where psychic powers are utilized in corporate espionage, while cryonic technology allows recently deceased people to be maintained in a lengthy state of hibernation. It follows Joe Chip, a technician at a psychic agency who begins to experience strange alterations in reality that can be temporarily reversed by a mysterious store-bought substance called Ubik. This work expands upon characters and concepts previously introduced in the vignette ""What the Dead Men Say"". (Source: Wikipedia)",Afterlife; Holy People; Omens & Visions; Psyche; Transcendence,United States,Christianity-Protestant; Buddhism-Theravada; Non Affliated-Spiritual but not religious,https://www.wikidata.org/wiki/Q617357,Q617357,"Metadata and other content produced by the MaRGAN team for this website is free for teaching and research purposes, provided appropriate credit is given. See <a href=""https://creativecommons.org/licenses/by/4.0/"">https://creativecommons.org/licenses/by/4.0/</a> for more information.",https://creativecommons.org/licenses/by/4.0/,Text,image/jpeg,,record,OL9002759M,https://openlibrary.org/works/OL9002759M,https://covers.openlibrary.org/b/OLID/OL9002759M.jpg,/objects/cover_ubik.jpg,/objects/small/cover_ubik_sm.jpg,/objects/thumbs/cover_ubik_th.jpg,Book cover for Ubik by Phillip K. Dick
margan009,All About H. Hatterr,1948,G.V. Desani,50,"All About H. Hatterr (1948) is a novel by G. V. Desani chronicles an Anglo-Malay man's adventures in search of wisdom and enlightenment. ""As far back as in 1951,"" Desani later wrote, ""I said H. Hatterr was a portrait of a man, the common vulgar species, found everywhere, both in the East and in the West"". (Source: Wikipedia)",,,,https://www.wikidata.org/wiki/Q4728502,Q4728502,"Metadata and other content produced by the MaRGAN team for this website is free for teaching and research purposes, provided appropriate credit is given. See <a href=""https://creativecommons.org/licenses/by/4.0/"">https://creativecommons.org/licenses/by/4.0/</a> for more information.",https://creativecommons.org/licenses/by/4.0/,Text,image/jpeg,,record,OL8845342M,https://openlibrary.org/works/OL8845342M,https://covers.openlibrary.org/b/OLID/OL8845342M.jpg,/objects/cover_all_about_h_hatterr.jpg,/objects/small/cover_all_about_h_hatterr_sm.jpg,/objects/thumbs/cover_all_about_h_hatterr_th.jpg,Book cover for All About H. Hatterr by G.V. Desani
margan010,A Passage to India,1924,E.M. Forster,51,"A Passage to India is a 1924 novel by English author E. M. Forster set against the backdrop of the British Raj and the Indian independence movement in the 1920s. It was selected as one of the 100 great works of 20th-century English literature by the Modern Library and won the 1924 James Tait Black Memorial Prize for fiction. Time magazine included the novel in its ""All Time 100 Novels"" list. The novel is based on Forster's experiences in India, deriving the title from Walt Whitman's 1870 poem ""Passage to India"" in Leaves of Grass. (Source: Wikipedia)",Ethics; Experience; Place; Spirituality; Supernatural,United Kingdom; India,Christianity-Protestant; Islam-Sunni; Hindu,https://www.wikidata.org/wiki/Q622303,Q622303,"Metadata and other content produced by the MaRGAN team for this website is free for teaching and research purposes, provided appropriate credit is given. See <a href=""https://creativecommons.org/licenses/by/4.0/"">https://creativecommons.org/licenses/by/4.0/</a> for more information.",https://creativecommons.org/licenses/by/4.0/,Text,image/jpeg,,record,OL58978927M,https://openlibrary.org/works/OL58978927M,https://covers.openlibrary.org/b/OLID/OL58978927M.jpg,/objects/cover_a_passage_to_india.jpg,/objects/small/cover_a_passage_to_india_sm.jpg,/objects/thumbs/cover_a_passage_to_india_th.jpg,Book cover for A Passage to India by E.M. Forster
