id,novel_id,country_id,significance
1,margan001,IND,major
2,margan002,IND,major
3,margan003,USA,major
4,margan004,IND,major
5,margan005,USA,major
6,margan006,GBR,major
7,margan006,IND,minor
8,margan007,GBR,major
9,margan008,USA,major
10,margan010,GBR,
11,margan010,IND,
12,margan012,IND,major
13,margan015,IRL,major
14,margan017,USA,major
15,margan017,MEX,minor
16,margan043,TTO,major
17,margan021,USA,major
18,margan024,IND,major
19,margan044,USA,major
20,margan025,GBR,
21,margan032,USA,major
22,margan033,GBR,major
23,margan034,GBR,major
24,margan034,HTI,major
25,margan037,KEN,major
26,margan040,GBR,
27,margan041,GBR,
28,margan042,JAM,major
