id,source_novel_keyword_id,cross-ref_type,target_novel_keyword_id
1,6,relates to,7
2,7,relates to,6
3,9,relates to,6
4,23,relates to,25
5,24,relates to,25
6,25,relates to,23
7,28,relates to,29
8,29,relates to,28
9,30,relates to,29
10,31,relates to,32
11,32,continues from,31
12,41,relates to,43
13,43,relates to,41
14,75,relates to,76
15,76,relates to,75
16,84,relates to,87
17,85,relates to,87
18,86,relates to,87
19,87,relates to,86
20,88,relates to,85
21,127,relates to,128
22,129,relates to,130
23,130,relates to,129
24,131,relates to,128
25,132,relates to,133
26,133,relates to,132
27,134,relates to,136
28,135,relates to,136
29,136,relates to,134
30,4,continues from,5
31,4,relates to,8
