id,religion,religion and id (reference only)
1,Christianity-Protestant,Christianity-Protestant (ID: 1)
2,Christianity-Roman Catholic,Christianity-Roman Catholic (ID: 2)
3,Christianity-Eastern Orthodox,Christianity-Eastern Orthodox (ID: 3)
4,Christianity-Anglican,Christianity-Anglican (ID: 4)
5,Christianity-Other,Christianity-Other (ID: 5)
6,Judaism-Conservative,Judaism-Conservative (ID: 6)
7,Judaism-Orthodox,Judaism-Orthodox (ID: 7)
8,Judaism-Liberal/Reform,Judaism-Liberal/Reform (ID: 8)
9,Islam-Sunni,Islam-Sunni (ID: 9)
10,Islam-Shia,Islam-Shia (ID: 10)
11,Islam-Ibadhi,Islam-Ibadhi (ID: 11)
12,Islam-Nation of Islam,Islam-Nation of Islam (ID: 12)
13,Islam-Alawite,Islam-Alawite (ID: 13)
14,Islam-Ahmadiyya,Islam-Ahmadiyya (ID: 14)
15,Buddhism-Mahayana,Buddhism-Mahayana (ID: 15)
16,Buddhism-Theravada,Buddhism-Theravada (ID: 16)
17,Zoroastrian,Zoroastrian (ID: 17)
18,Hindu,Hindu (ID: 18)
19,Sikh,Sikh (ID: 19)
20,Shinto,Shinto (ID: 20)
21,Bahai,Bahai (ID: 21)
22,Taoism,Taoism (ID: 22)
23,Confucianism,Confucianism (ID: 23)
24,Jain,Jain (ID: 24)
25,Syncretic Religions - Afro-Christian,Syncretic Religions - Afro-Christian (ID: 25)
26,Syncretic Religions-Occult,Syncretic Religions-Occult (ID: 26)
27,Syncretic Religions-Rastafarian,Syncretic Religions-Rastafarian (ID: 27)
28,Syncretic Religions-Pagan,Syncretic Religions-Pagan (ID: 28)
29,Animist-Native American,Animist-Native American (ID: 29)
30,Animist-African,Animist-African (ID: 30)
31,Non Affliated-Atheist,Non Affliated-Atheist (ID: 31)
32,Non Affliated-Spiritual but not religious,Non Affliated-Spiritual but not religious (ID: 32)
33,Humanist,Humanist (ID: 33)
